date,changePercent,close,high,low,open,volume
2019-03-05,0.13699999999999998,29.2,29.31,28.76,29.07,1890970
2019-03-06,-3.253,28.25,29.155,28.14,29.06,2466049
2019-03-07,-3.15,27.36,28.3,27.31,28.16,3102396
2019-03-08,-1.974,26.82,27.16,26.51,26.93,2864338
2019-03-11,2.61,27.52,27.57,26.73,26.76,3497718
2019-03-12,3.343,28.44,28.59,27.6,27.73,3112615
